latitude,longitude,latbin,lonbin,tp
29.25,265.0,29.25,265.0,36.3
29.25,265.125,29.25,265.125,36.3
29.25,265.25,29.25,265.25,42.9
29.25,265.375,29.25,265.375,49.7
29.375,263.75,29.375,263.75,40.5
29.375,263.875,29.375,263.875,49.6
29.375,264.0,29.375,264.0,48.2
29.375,264.125,29.375,264.125,49.8
29.375,264.25,29.375,264.25,56.4
29.375,264.375,29.375,264.375,58.3
29.375,264.5,29.375,264.5,54.9
29.375,264.625,29.375,264.625,45.8
29.375,264.75,29.375,264.75,40.1
29.375,264.875,29.375,264.875,33.6
29.375,265.0,29.375,265.0,30.5
29.375,265.125,29.375,265.125,32.3
29.375,265.25,29.375,265.25,39.5
29.375,265.375,29.375,265.375,40.9
29.375,265.5,29.375,265.5,42.4
29.5,263.75,29.5,263.75,68.9
29.5,263.875,29.5,263.875,72.1
29.5,264.0,29.5,264.0,64.7
29.5,264.125,29.5,264.125,59.6
29.5,264.25,29.5,264.25,64.9
29.5,264.375,29.5,264.375,64.8
29.5,264.5,29.5,264.5,59.9
29.5,264.625,29.5,264.625,52.1
29.5,264.75,29.5,264.75,45.4
29.5,264.875,29.5,264.875,39.8
29.5,265.0,29.5,265.0,35.8
29.5,265.125,29.5,265.125,37.2
29.5,265.25,29.5,265.25,37.6
29.5,265.375,29.5,265.375,35.2
29.5,265.5,29.5,265.5,36.6
29.625,263.75,29.625,263.75,90.2
29.625,263.875,29.625,263.875,87.2
29.625,264.0,29.625,264.0,75.7
29.625,264.125,29.625,264.125,71.4
29.625,264.25,29.625,264.25,75.6
29.625,264.375,29.625,264.375,74.5
29.625,264.5,29.625,264.5,66.7
29.625,264.625,29.625,264.625,61.8
29.625,264.75,29.625,264.75,55.1
29.625,264.875,29.625,264.875,49.8
29.625,265.0,29.625,265.0,45.5
29.625,265.125,29.625,265.125,47.3
29.625,265.25,29.625,265.25,51.7
29.625,265.375,29.625,265.375,47.0
29.625,265.5,29.625,265.5,47.1
29.75,263.625,29.75,263.625,89.1
29.75,263.75,29.75,263.75,100.2
29.75,263.875,29.75,263.875,87.1
29.75,264.0,29.75,264.0,77.7
29.75,264.125,29.75,264.125,78.0
29.75,264.25,29.75,264.25,77.3
29.75,264.375,29.75,264.375,69.0
29.75,264.5,29.75,264.5,62.4
